ship	1	10	0	0.0000015304	19.3176290089	0.0003091474	11.6594175261	0.0003076170	7.6582114828
ship	1	10	1	0.0000015304	19.3176290089	0.0030317871	8.3656158440	0.0030302567	10.9520131649
ship	1	10	2	0.0000015304	19.3176290089	0.0214413615	5.5434596735	0.0214398310	13.7741693353
ship	1	10	3	0.0000015304	19.3176290089	0.0698489463	3.8396178377	0.0698474159	15.4780111712
ship	1	10	4	0.0000015304	19.3176290089	0.1023920662	3.2878241612	0.1023905358	16.0298048476
ship	1	10	5	0.0000015304	19.3176290089	0.1060299047	3.2374568753	0.1060283742	16.0801721336
ship	1	10	6	0.0000015304	19.3176290089	0.1061293828	3.2361039616	0.1061278523	16.0815250473
ship	1	10	7	0.0000015304	19.3176290089	0.1061293828	3.2361039616	0.1061278523	16.0815250473
ship	1	10	8	0.0000015304	19.3176290089	0.1061293828	3.2361039616	0.1061278523	16.0815250473
ship	1	10	9	0.0000015304	19.3176290089	0.1061293828	3.2361039616	0.1061278523	16.0815250473
ship	1	10	10	0.0000015304	19.3176290089	0.1061293828	3.2361039616	0.1061278523	16.0815250473
